region,agey,ntotal,sage
Sub-Saharan Africa,55-59,24999,55
Sub-Saharan Africa,60-64,19291,60
Sub-Saharan Africa,65-69,14094,65
Sub-Saharan Africa,70-74,9510,70
Sub-Saharan Africa,75-79,5610,75
Sub-Saharan Africa,80-84,2604,80
Sub-Saharan Africa,85-89,873,85
Sub-Saharan Africa,90+,192,90
Northen Africa & Western Asia,55-59,20099,55
Northen Africa & Western Asia,60-64,15857,60
Northen Africa & Western Asia,65-69,12040,65
Northen Africa & Western Asia,70-74,8059,70
Northen Africa & Western Asia,75-79,5220,75
Northen Africa & Western Asia,80-84,3247,80
Northen Africa & Western Asia,85-89,1494,85
Northen Africa & Western Asia,90+,507,90
Central & Southern Asia,55-59,83084,55
Central & Southern Asia,60-64,67032,60
Central & Southern Asia,65-69,50794,65
Central & Southern Asia,70-74,33022,70
Central & Southern Asia,75-79,21088,75
Central & Southern Asia,80-84,11943,80
Central & Southern Asia,85-89,5014,85
Central & Southern Asia,90+,1774,90
Eastern & South-Eastern Asia,55-59,148159,55
Eastern & South-Eastern Asia,60-64,119562,60
Eastern & South-Eastern Asia,65-69,107098,65
Eastern & South-Eastern Asia,70-74,70406,70
Eastern & South-Eastern Asia,75-79,44366,75
Eastern & South-Eastern Asia,80-84,28373,80
Eastern & South-Eastern Asia,85-89,14557,85
Eastern & South-Eastern Asia,90+,6813,90
Latin America & the Caribbean,55-59,32150,55
Latin America & the Caribbean,60-64,26227,60
Latin America & the Caribbean,65-69,20888,65
Latin America & the Caribbean,70-74,15033,70
Latin America & the Caribbean,75-79,10348,75
Latin America & the Caribbean,80-84,6718,80
Latin America & the Caribbean,85-89,3616,85
Latin America & the Caribbean,90+,2048,90
Australia & New Zealand,55-59,1866,55
Australia & New Zealand,60-64,1700,60
Australia & New Zealand,65-69,1473,65
Australia & New Zealand,70-74,1297,70
Australia & New Zealand,75-79,911,75
Australia & New Zealand,80-84,620,80
Australia & New Zealand,85-89,384,85
Australia & New Zealand,90+,238,90
Ocenian,55-59,428,55
Ocenian,60-64,332,60
Ocenian,65-69,239,65
Ocenian,70-74,147,70
Ocenian,75-79,81,75
Ocenian,80-84,39,80
Ocenian,85-89,14,85
Ocenian,90+,4,90
Europe & Northern America,55-59,77063,55
Europe & Northern America,60-64,72141,60
Europe & Northern America,65-69,63019,65
Europe & Northern America,70-74,51202,70
Europe & Northern America,75-79,36158,75
Europe & Northern America,80-84,28386,80
Europe & Northern America,85-89,16234,85
Europe & Northern America,90+,9810,90